codSilaboDetalle;codCurso;codSemana;codTematica
1;1;1;1
2;1;2;2
3;1;3;3
4;1;4;4
5;1;5;5
6;1;6;6
7;1;7;7
8;1;8;8
9;1;9;9
10;1;10;10
11;1;11;11
12;1;12;12
13;1;13;13
14;1;14;14
15;1;15;15
16;1;16;16
17;1;17;17
18;2;1;1
19;2;2;2
20;2;3;3
21;2;4;4
22;2;5;5
23;2;6;6
24;2;7;7
25;2;8;8
26;2;9;9
27;2;10;10
28;2;11;11
29;2;12;12
30;2;13;13
31;2;14;14
32;2;15;15
33;2;16;16
34;2;17;17
